#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Methanococcus aeolicus Nankai-3,Archaea;Euryarchaeota;Methanomada group,Nankai-3,SAMN00623051,PRJNA18641,GCA_000017185.1,Complete,"1,5695",30,chromosome:NC_009635.1/CP000743.1,,1,1506,2007-06-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/185/GCA_000017185.1_ASM1718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/185/GCF_000017185.1_ASM1718v1
Methanococcus maripaludis,Archaea;Euryarchaeota;Methanomada group,DSM 2067,SAMN08466362,PRJNA432904,GCA_002945325.1,Complete,"1,71492","32,9",chromosome:NZ_CP026606.1/CP026606.1,,1,1797,2018-02-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/945/325/GCA_002945325.1_ASM294532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/945/325/GCF_002945325.1_ASM294532v1
Methanococcus vannielii SB,Archaea;Euryarchaeota;Methanomada group,SB,SAMN02598403,PRJNA17889,GCA_000017165.1,Complete,"1,72005","31,3",chromosome:NC_009634.1/CP000742.1,,1,1707,2007-06-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/165/GCA_000017165.1_ASM1716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/165/GCF_000017165.1_ASM1716v1
Methanosphaera stadtmanae,Archaea;Euryarchaeota;Methanomada group,MGYG-HGUT-02164,SAMEA5851668,PRJEB33885,GCA_902384015.1,Complete,"1,7674","27,6",chromosome 1:NZ_LR698975.1/LR698975.1,,1,1541,2019-08-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/384/015/GCA_902384015.1_UHGG_MGYG-HGUT-02164,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/384/015/GCF_902384015.1_UHGG_MGYG-HGUT-02164
Methanothermobacter marburgensis str. Marburg,Archaea;Euryarchaeota;Methanomada group,Marburg,SAMN02603260,PRJNA40103,GCA_000145295.1,Complete,"1,63914","48,5913",chromosome:NC_014408.1/CP001710.1; plasmid pMTBMA4:NC_014409.1/CP001711.1,,2,1709,2010-08-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/295/GCA_000145295.1_ASM14529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/295/GCF_000145295.1_ASM14529v1
Methanothermobacter thermautotrophicus str. Delta H,Archaea;Euryarchaeota;Methanomada group,Delta H,SAMN02603244,PRJNA289,GCA_000008645.1,Complete,"1,75138","49,5",chromosome:NC_000916.1/AE000666.1,,1,1793,1997-11-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/645/GCA_000008645.1_ASM864v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/645/GCF_000008645.1_ASM864v1
Methanothermococcus okinawensis IH1,Archaea;Euryarchaeota;Methanomada group,IH1,SAMN00100784,PRJNA43653,GCA_000179575.2,Complete,"1,67745","29,2777",chromosome:NC_015636.1/CP002792.1; plasmid pMETOK01:NC_015632.1/CP002793.1,,2,1615,2011-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/575/GCA_000179575.2_ASM17957v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/575/GCF_000179575.2_ASM17957v2
Methanothermus fervidus DSM 2088,Archaea;Euryarchaeota;Methanomada group,DSM 2088,SAMN02232040,PRJNA33689,GCA_000166095.1,Complete,"1,24334","31,6",chromosome:NC_014658.1/CP002278.1,,1,1291,2010-11-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/095/GCA_000166095.1_ASM16609v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/095/GCF_000166095.1_ASM16609v1
Methanotorris igneus Kol 5,Archaea;Euryarchaeota;Methanomada group,Kol 5,SAMN00713627,PRJNA51821,GCA_000214415.1,Complete,"1,8542","32,3",chromosome:NC_015562.1/CP002737.1,,1,1790,2011-05-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/415/GCA_000214415.1_ASM21441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/415/GCF_000214415.1_ASM21441v1
Methanopyrus kandleri AV19,Archaea;Euryarchaeota;Methanopyri,AV19,SAMN02603235,PRJNA294,GCA_000007185.1,Complete,"1,69497","61,2",chromosome:NC_003551.1/AE009439.1,,1,1776,2002-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/185/GCA_000007185.1_ASM718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/185/GCF_000007185.1_ASM718v1
Haladaptatus pallidirubidus,Archaea;Euryarchaeota;Stenosarchaea group,YIM 93656,SAMN22364628,PRJNA772083,GCA_020700235.1,Complete,"6,27052","56,0896",chromosome:NZ_CP085301.1/CP085301.1; plasmid unnamed1:NZ_CP085302.1/CP085302.1; plasmid unnamed2:NZ_CP085303.1/CP085303.1; plasmid unnamed3:NZ_CP085304.1/CP085304.1; plasmid unnamed4:NZ_CP085305.1/CP085305.1; plasmid unnamed5:NZ_CP085306.1/CP085306.1; plasmid unnamed6:NZ_CP085307.1/CP085307.1,,7,6240,2021-11-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/700/235/GCA_020700235.1_ASM2070023v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/700/235/GCF_020700235.1_ASM2070023v1
Halalkaliarchaeum desulfuricum,Archaea;Euryarchaeota;Stenosarchaea group,AArc-Sl,SAMN08093583,PRJNA419617,GCA_002952775.1,Complete,"3,31312","63,1",chromosome:NZ_CP025066.1/CP025066.1,,1,3207,2018-02-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/775/GCA_002952775.1_ASM295277v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/775/GCF_002952775.1_ASM295277v1
Halalkalicoccus jeotgali B3,Archaea;Euryarchaeota;Stenosarchaea group,B3,SAMN02603490,PRJNA49517,GCA_000196895.1,Complete,"3,69865","62,5582",chromosome:NC_014297.1/CP002062.1; plasmid 1:NC_014298.1/CP002063.1; plasmid 2:NC_014299.1/CP002064.1; plasmid 3:NC_014300.1/CP002065.1; plasmid 4:NC_014301.1/CP002066.1; plasmid 5:NC_014302.1/CP002067.1; plasmid 6:NC_014303.1/CP002068.1,,7,3755,2010-06-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/895/GCA_000196895.1_ASM19689v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/895/GCF_000196895.1_ASM19689v1
Halanaeroarchaeum sulfurireducens,Archaea;Euryarchaeota;Stenosarchaea group,M27-SA2,SAMN03701450,PRJNA284332,GCA_001305655.1,Complete,"2,2535","62,7699",chromosome:NZ_CP011564.1/CP011564.1; plasmid pM27-SA2-01:NZ_CP011565.1/CP011565.1,,2,2237,2015-10-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/655/GCA_001305655.1_ASM130565v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/655/GCF_001305655.1_ASM130565v1
Halapricum desulfuricans,Archaea;Euryarchaeota;Stenosarchaea group,HSR-Bgl,SAMN16484195,PRJNA670125,GCA_017094445.1,Complete,"3,07802","63,8777",chromosome:NZ_CP064789.1/CP064789.1; plasmid pHSR-Bgl01:NZ_CP064790.1/CP064790.1,,2,2997,2021-03-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/094/445/GCA_017094445.1_ASM1709444v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/445/GCF_017094445.1_ASM1709444v1
Haloarcula marismortui ATCC 43049,Archaea;Euryarchaeota;Stenosarchaea group,ATCC 43049,SAMN02603385,PRJNA105,GCA_000011085.1,Complete,"4,27464","61,1403",chromosome I:NC_006396.1/AY596297.1; chromosome II:NC_006397.1/AY596298.1; plasmid pNG100:NC_006389.1/AY596290.1; plasmid pNG200:NC_006390.1/AY596291.1; plasmid pNG300:NC_006391.1/AY596292.1; plasmid pNG400:NC_006392.1/AY596293.1; plasmid pNG500:NC_006393.1/AY596294.1; plasmid pNG600:NC_006394.1/AY596295.1; plasmid pNG700:NC_006395.1/AY596296.1,,9,4231,2004-11-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/085/GCF_000011085.1_ASM1108v1
Haloarcula sinaiiensis ATCC 33800,Archaea;Euryarchaeota;Stenosarchaea group,ATCC 33800,SAMN18811338,PRJNA412908,GCA_018200015.1,Complete,"4,53713","60,6171",chromosome:NZ_CP073366.1/CP073366.1; plasmid pHsi55:NZ_CP073370.1/CP073370.1; plasmid pHsi117:NZ_CP073367.1/CP073367.1; plasmid pHsi139:NZ_CP073372.1/CP073372.1; plasmid pHsi204:NZ_CP073371.1/CP073371.1; plasmid pHsi388:NZ_CP073369.1/CP073369.1; plasmid pHsi540:NZ_CP073368.1/CP073368.1,,7,4419,2021-04-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/200/015/GCA_018200015.1_ASM1820001v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/200/015/GCF_018200015.1_ASM1820001v1
Haloarcula taiwanensis,Archaea;Euryarchaeota;Stenosarchaea group,Taiwanensis,SAMN06200074,PRJNA360060,GCA_002844335.1,Complete,"3,72171","62,5329",chromosome I:NZ_CP019154.1/CP019154.1; chromosome II:NZ_CP019155.1/CP019155.1; plasmid pNYT1:NZ_CP019156.1/CP019156.1; plasmid pNYT2:NZ_CP019157.1/CP019157.1,,4,3707,2017-12-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/844/335/GCA_002844335.1_ASM284433v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/844/335/GCF_002844335.1_ASM284433v1
Halobacterium hubeiense,Archaea;Euryarchaeota;Stenosarchaea group,JI20-1,SAMEA3305703,PRJEB4726,GCA_001488575.1,Complete,"3,13035","66,576",chromosome I:NZ_LN831302.1/LN831302.1; plasmid pSTJ001:NZ_LN831303.1/LN831303.1; plasmid pSTJ002:NZ_LN831304.1/LN831304.1; plasmid pSTJ003:NZ_LN831305.1/LN831305.1,,4,3248,2015-12-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/488/575/GCA_001488575.1_Halobacterium_hubeiense_JI20-1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/488/575/GCF_001488575.1_Halobacterium_hubeiense_JI20-1
Halobacterium litoreum,Archaea;Euryarchaeota;Stenosarchaea group,ZS-54-S2,SAMN23798363,PRJNA787373,GCA_021233415.1,Complete,"2,709","68,603",chromosome:NZ_CP089466.1/CP089466.1; plasmid unnamed1:NZ_CP089467.1/CP089467.1,,2,2900,2021-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/233/415/GCA_021233415.1_ASM2123341v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/233/415/GCF_021233415.1_ASM2123341v1
Halobacterium noricense,Archaea;Euryarchaeota;Stenosarchaea group,JCM 15102,SAMN23798384,PRJNA787377,GCA_021233435.1,Complete,"3,3168","64,7878",chromosome:NZ_CP089468.1/CP089468.1; plasmid unnamed1:NZ_CP089469.1/CP089469.1; plasmid unnamed2:NZ_CP089470.1/CP089470.1,,3,3396,2021-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/233/435/GCA_021233435.1_ASM2123343v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/233/435/GCF_021233435.1_ASM2123343v1
Halobacterium salinarum,Archaea;Euryarchaeota;Stenosarchaea group,91-R6,SAMN11158145,PRJNA530823,GCA_004799605.1,Complete,"2,42968","66,2551",chromosome:NZ_CP038631.1/CP038631.1; plasmid pHSAL1:NZ_CP038632.1/CP038632.1; plasmid pHSAL2:NZ_CP038633.1/CP038633.1,,3,2467,2019-04-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/605/GCA_004799605.1_ASM479960v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/605/GCF_004799605.1_ASM479960v1
